MLD,activity
2631,0.102612274109859
2664,0.0670807453416149
2721,0.0428300352399024
2718,0.0399142780605411
2712,0.0491378540159028
2723,0.0405417446315602
2711,0.0508093525179856
2773,0.0473293370314038
2806,0.053116337297684
2789,0.0502847988608046
2798,0.0210057854917668
2730,0.0313725490196078
2509,0.0635147190008921
2294,0.0816580679594378
2160,0.0938583237045596
2032,0.144256292906179
2001,0.15027494816551
1717,0.149295520231214
1481,0.239915074309979
1595,0.207598371777476
1593,0.260116644235083
1393,0.33291058972733
1186,0.389785422947331
1514,0.360952205203912
1490,0.31618592687856
1562,0.314293598233996
1709,0.248895699990985
1794,0.19626251788269
1899,0.217437722419929
1959,0.141210885559791
1913,0.167698470502549
1889,0.224561080981708
1868,0.211540208995911
1917,0.163817795435646
1965,0.109008676389145
2073,0.100662495399337
2267,0.0528922530604616
2270,0.0485727655591951
2353,0.0488838654987285
2301,0.0802084302596073
2452,0.0199566552284631
2468,0.0505736576411198
2490,0.0519241392008838
2409,0.0487535645294821
2478,0.0495974831127973
2541,0.0467324177343534
2528,0.0299583911234397
2589,0.0495105421686747
2590,0.0490960814903184
2644,0.0529789013848871
2630,0.0412710007304602
2617,0.0333333333333333
2701,0.0262342867553288
2664,0.0250340136054422
2600,0.0210564530767834
2282,0.0413290851160674
2014,0.101891231562755
1928,0.106919945725916
1882,0.101810790835181
1759,0.172457937088515
1421,0.215756171464219
1384,0.271273192578375
1300,0.34051644064648
1415,0.273022458735456
1497,0.269154676258993
1490,0.346278901734104
1456,0.253360097748298
1484,0.276890308839191
1827,0.186867790594499
1724,0.184954954954955
1823,0.184730867813988
1627,0.186990363232024
1697,0.189865056147966
1865,0.152671755725191
1933,0.200445641073252
2008,0.184838558727188
2059,0.176111111111111
2103,0.143747136967476
1997,0.117958236658933
2079,0.136890524379025
2375,0.0808090136682675
2495,0.0671986941144464
2507,0.0472650513950073
2504,0.0446273433927755
2502,0.0638258280610346
2505,0.0378038635733432
2458,0.0262503453992816
2487,0.0368269320189714
2425,0.036178107606679
2413,0.0360810435747988
2271,0.0249702734839477
2183,0.0627872770729914
2197,0.0648207573118181
2084,0.0855341314082062
2035,0.0773572684371241
2031,0.0990891526359371
1769,0.141688359985125
1798,0.183179618299699
1788,0.265889735544599
1504,0.373802489032143
1387,0.367509154237742
1516,0.33576317894924
1572,0.337757977998
1546,0.343537414965986
1585,0.309624880880187
1424,0.260345131185068
1596,0.205699901105817
1847,0.181694853938681
1946,0.16607933495979
2199,0.163480435947829
2136,0.114503816793893
2253,0.108649035025018
2250,0.105224631713789
2294,0.115285549338307
2229,0.126303694537741
2103,0.125394108638861
2339,0.0667263770712047
2356,0.090338207589486
2298,0.110034663585459
2250,0.107774322523323
2120,0.106910274963821
2016,0.122220196864747
2080,0.142933714489905
2176,0.119727047146402
2442,0.0936653560506771
2551,0.0666025697054453
2521,0.0365288822861138
2529,0.0177855274629468
2538,0.0270199599058659
2629,0.0462125243924073
2669,0.0542819499341238
2695,0.0290423861852433
2703,0.0298585192257617
2681,0.065046336772163
2645,0.0508592863997208
2576,0.0511766249671945
2604,0.0581879372951909
2496,0.0961916681566243
2380,0.172574955908289
2250,0.193023676125068
2341,0.231121700879765
2377,0.237551020408163
2212,0.256236442516269
1966,0.249660909666335
1464,0.317996188401851
1390,0.291381303922441
1597,0.290771857309731
1561,0.247155782495745
1503,0.273646209386282
1692,0.28986301369863
1715,0.267542281396186
1874,0.241648706896552
1862,0.266708587854833
1919,0.214548060557198
1746,0.204941197921415
1668,0.250412012451932
1498,0.217236149522705
1580,0.195722793719545
1698,0.177269478198713
1876,0.158519051042416
1987,0.152981383217915
2107,0.140697260761295
2237,0.122949358059914
1934,0.136257833482543
1840,0.119252474789527
1818,0.172375792083754
2139,0.0952986022871665
2161,0.0928089067348056
2468,0.105965104594866
2252,0.0803301237964237
1980,0.0576958868416155
2039,0.0596026490066225
2049,0.035976573394069
2221,0.074032529444756
2220,0.0651432783562149
2244,0.0563040044597231
2127,0.0989021043000915
2274,0.0645693845730533
2195,0.0875285518501599
2181,0.0871311169219275
1882,0.145556268916812
1579,0.188530805687204
1326,0.240632649218603
1167,0.398917481720634
1095,0.378466854596708
1241,0.323561544064093
956,0.477698525915359
835,0.5458841319346
906,0.49868259265765
1125,0.410647737355812
1183,0.398152512018098
1343,0.338798323241733
1450,0.342481097731728
1374,0.328529465760969
1553,0.22809326814592
1552,0.189916743755782
1483,0.229041353383459
1627,0.218338108882522
1769,0.104662317728319
1893,0.0530816868180478
1935,0.127495860524009
1918,0.154518101523828
1979,0.101838755304102
1959,0.105052430886559
2074,0.098567498339816
2083,0.0548048048048048
2177,0.0596304591265398
2212,0.0648879799200521
2202,0.0359516899166745
2262,0.0655017664470543
2210,0.0569986918333022
2095,0.0233203775680178
2007,0.0440387691728616
2035,0.054985406270596
1980,0.108582758946275
1913,0.152547143259218
1932,0.111325966850829
1975,0.188020118884316
1822,0.22305834262356
1739,0.230605048255382
1444,0.247111028935934
1210,0.275584587711824
948,0.377329637771194
1317,0.277552897884085
1344,0.272144948755491
1178,0.345026561641326
1275,0.231673709351461
1059,0.391814486326681
1271,0.361083431470242
1385,0.228277681739605
1663,0.222345234800258
1680,0.151178542400433
1704,0.145878136200717
1614,0.151449860849268
1613,0.179388964888281
1664,0.164058967170118
1731,0.150228050171038
1893,0.115798335048171
1899,0.0785195103289977
1953,0.0734581393138839
1971,0.0611480475699972
1769,0.138145670754366
1586,0.227412587412587
1485,0.207985314364387
1560,0.172483654111797
1691,0.142843977513593
1769,0.163063226744186
1662,0.180131105161112
1851,0.178581286226884
1720,0.215783664459161
1586,0.253397354593223
1805,0.209440057430007
1649,0.280062276765272
1877,0.172340613670528
1883,0.218511796733212
1910,0.200986661794263
1882,0.183245117722212
1677,0.237867580732455
1845,0.142818403687969
2020,0.143146274149034
2112,0.186189775652814
1970,0.216977646406798
2111,0.142647328804847
2143,0.108463661453542
2188,0.0901018786802505
1963,0.0770860195247744
1989,0.0760474013249977
2043,0.0976902688375615
1833,0.0978118571161399
1685,0.160343860960568
1673,0.134864492420763
